entry,patch,KillCredit1,KillCredit2,modelid_1,modelid_2,modelid_3,modelid_4,name,subname,gossip_menu_id,minlevel,maxlevel,minhealth,maxhealth,minmana,maxmana,armor,faction_A,faction_H,npcflag,speed_walk,speed_run,scale,rank,mindmg,maxdmg,dmgschool,attackpower,dmg_multiplier,baseattacktime,rangeattacktime,unit_class,unit_flags,dynamicflags,family,trainer_type,trainer_spell,trainer_class,trainer_race,minrangedmg,maxrangedmg,rangedattackpower,type,type_flags,lootid,pickpocketloot,skinloot,resistance1,resistance2,resistance3,resistance4,resistance5,resistance6,spell1,spell2,spell3,spell4,PetSpellDataId,mingold,maxgold,AIName,MovementType,InhabitType,Civilian,RacialLeader,RegenHealth,equipment_id,trainer_id,vendor_id,MechanicImmuneMask,SchoolImmuneMask,flags_extra,ScriptName
2,0,0,0,262,0,0,0,Spawn Point (Only GM can see it),,0,63,63,9999,9999,0,0,68,35,35,0,0.0,1.14286,0.0,3,11.0,11.0,0,290,1.0,1800,1900,0,0,0,0,0,0,0,0,387.6,532.95,100,1,8,0,0,0,0,15,15,15,15,15,0,0,0,0,0,222,1110,,0,3,0,0,1,0,0,0,0,0,130,
1,0,0,0,10045,0,0,0,Waypoint (Only GM can see it),Visual,0,63,63,9999,9999,0,0,0,35,35,0,0.91,1.14286,0.0,3,7.0,7.0,0,290,1.0,2000,2200,0,4096,0,8,0,0,0,0,1.76,2.42,100,8,5242894,1,0,0,0,15,15,15,15,15,0,0,0,0,0,0,0,NullAI,0,1,0,0,1,0,0,0,0,0,130,
3,0,0,0,987,0,0,0,Flesh Eater,,0,24,25,661,710,0,0,1026,21,21,0,0.95,1.14286,0.0,0,36.0,46.0,0,106,1.0,2500,2000,1,524288,0,0,0,0,0,0,42.1344,57.9348,100,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,32,47,,1,3,0,0,1,0,0,0,8388624,0,0,
6,0,0,0,10913,0,0,0,Kobold Vermin,,0,1,2,42,55,0,0,15,25,25,0,0.63,1.14286,0.0,0,0.0,1.0,0,46,1.0,2000,2000,1,0,0,0,0,0,0,0,0.0,0.0,0,7,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,4,EventAI,1,3,0,0,1,143,0,0,0,0,2,
30,0,0,0,382,0,0,0,Forest Spider,,0,5,6,100,120,0,0,147,22,22,0,0.39,1.14286,0.0,0,7.0,10.0,0,54,1.0,2000,2000,1,0,0,3,0,0,0,0,8.58,11.7975,100,1,1,30,0,0,0,0,0,0,0,0,744,0,0,0,5880,0,0,EventAI,1,1,0,0,1,0,0,0,0,0,0,
36,0,0,0,367,0,0,0,Harvest Golem,,0,11,12,221,246,0,0,556,14,14,0,0.95,1.14286,0.0,0,17.0,22.0,0,66,1.0,2000,2000,1,0,0,0,0,0,0,0,12.7424,17.5208,100,9,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,,1,3,0,0,1,0,0,0,8405008,0,0,
38,0,0,0,5035,0,0,0,Defias Thug,,0,3,4,74,82,0,0,59,17,17,0,0.92,1.14286,0.0,0,3.0,5.0,0,50,1.0,2000,2000,1,0,0,0,0,0,0,0,6.9344,9.5348,100,7,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,2,7,EventAI,1,3,0,0,1,694,0,0,0,0,0,
40,0,0,0,373,0,0,0,Kobold Miner,,0,6,7,125,136,54,54,198,26,26,0,1.1,1.14286,0.0,0,7.0,10.0,0,56,1.0,2000,2000,1,0,0,0,0,0,0,0,0.0,0.0,0,7,0,40,40,0,0,21,0,0,0,0,6016,0,0,0,0,5,12,EventAI,1,3,0,0,1,738,0,0,0,0,0,
43,0,0,0,368,0,0,0,Mine Spider,,0,8,9,155,175,0,0,361,22,22,0,0.53,1.14286,0.0,0,11.0,15.0,0,60,1.0,2000,2000,1,0,0,3,0,0,0,0,13.4464,18.4888,100,1,1,43,0,0,0,0,0,0,0,0,744,0,0,0,0,0,0,EventAI,1,1,0,0,1,0,0,0,0,0,0,
46,0,0,0,441,0,0,0,Murloc Forager,,0,9,10,187,201,0,0,464,18,18,0,0.96,1.14286,0.0,0,13.0,17.0,0,62,1.0,2000,2000,1,32768,0,0,0,0,0,0,13.4464,18.4888,100,7,0,46,46,0,0,0,0,0,0,0,3368,0,0,0,0,9,17,EventAI,1,3,0,0,1,667,0,0,0,0,0,
